TYPE,Grantee Name,Accession Number,Award Number,Project Title,Sponsoring Agency,Funding Mechanism,Award Amount,Project Director Full Name,Project Status,Keywords
PROJECT,UNIVERSITY OF ALASKA SYSTEM,0200078,2004-34422-15179,"Seafood Harvesting, Processing and Marketing Program FY2004",National Institute of Food and Agriculture,NIFA Non Formula,996422.0,"Smiley, SC.",COMPLETE,"alaska, animal physiology, aquaculture, cod, collaboration, education programs, environmental stress, extension, fillets, fish, fish products, flounder, food marketing, food processing, halibut, harvesting, marine fish, microwave cookery, microwave radiation, new products, new technology, pollock, product quality, quality maintenance, research programs, salmon, sharks, striped bass, thermal processing, Advanced Thermal Processing Technology, Chalky Halibut, Fillet Operations, Inject Fillets, Pacific Cod, Pollock, Salmon Products, Seafood Harvesting, Seafood marketing, Sole, Spiny Dogfish, Undersized flatfish, aquaculture, marine finfish aquaculture, microwave technology, rockfish, seafood, seafood processing"
PROJECT,UNIVERSITY OF ALASKA SYSTEM,0200155,2004-34385-15035,CSREES Special Grant:  Alternative Salmon Products Program FY2004,National Institute of Food and Agriculture,NIFA Non Formula,527463.0,"Smiley, SC.",COMPLETE,"alaska, bruising, cod, collaboration, education, extension, fat content, fatty acids, fillets, fish, fish products, food industry, food nutritive value, food processing, harvesting, hydrolysis, infant formulas, lipids, meat quality, new technology, powders, product quality, profiles, proteins, research programs, seafood, underutilized species, wild fish, alternative salmon products, edible protein powders, infant formulae, salmon, salmon, underutilized fish"
PROJECT,SAES - UNIVERSITY OF ALASKA,0200299,2004-45057-03009,Food Product Development: 2004,National Institute of Food and Agriculture,NIFA Non Formula,386506.0,"Dinstel, R. R.",COMPLETE,"value added, antioxidants, shelf life, food safety, education, sensory evaluation, extension, alaska, food products, product development, wild plants, recipes, kitchens, nutrient content, food nutritive value, education programs, food preservation, cooperative research, meat, reindeer, berries, food handling, food storage, picking, food flavor, warmed over flavor, processed food"
PROJECT,UNIVERSITY OF ALASKA,0200477,2004-38426-14638,Year 4: A Collaboration Between the College of Rural Alaska Extended Campuses and the Alaska Cooperative Extension Service,National Institute of Food and Agriculture,NIFA Non Formula,831847.0,"Nakazawa, A.",COMPLETE,"extension, collaboration, curriculum, technology, alaska, colleges, rural areas, curriculum content, education, education programs, partnerships, middle schools, secondary schools, natural resources, demonstration"
PROJECT,SAES - UNIVERSITY OF ALASKA,0199860,2004-34495-14459,"Berry Research, AK II",National Institute of Food and Agriculture,NIFA Non Formula,167153.0,"Karlsson, M. G.",COMPLETE,"controlled environment, berries, greenhouse production, beneficial insects, pest management, irrigation, fertilization, raspberries, strawberries, day length, crop production, alaska, stress tolerance, pre harvest, fruit quality, agricultural economics, production management, market analysis, economic analysis, demand, food, economic potential, vegetables, flowers, facilities, greenhouses, farm equipment, instrumentation, agricultural engineering"
PROJECT,SAES - UNIVERSITY OF ALASKA,0220191,2010-65504-20379,Carbon Hydrogen Nitrogen Elemental Analysis for Biomass and Biofuel Research,National Institute of Food and Agriculture,NIFA Non Formula,28976.0,"Soria, J. A.",COMPLETE,"carbon, hydrogen, nitrogen, chn elemental analyzer, biomass, biofuel, biobased wood products, alaska"
PROJECT,SAES - UNIVERSITY OF ALASKA,0224181,2011-68004-20091,Identifying Strategies to Develop Sustainable Livestock Production in Alaska,National Institute of Food and Agriculture,NIFA Non Formula,48845.0,"Rowell, JA, E..",COMPLETE,"ALASKA, Food security, Livestock production systems, alaska, conference, food security, food sustainability, high latitude agriculture, livestock production, ruminant, sustainable agriculture"
PROJECT,UNIVERSITY OF ALASKA SOUTHEAST,0225836,2011-38426-30605,"Connecting Pacific Pathways through Research, Education and Experience in the Sciences (renewal)",National Institute of Food and Agriculture,NIFA Non Formula,310400.0,"Straley, JA.",COMPLETE,"biological sciences, communication skills, distance delivery, enhanced capacity for research, experiential learning, field methods, institutional collaboration, laboratory methods, land and, mentoring, molecular ecology, resource management, rural and native alaskans, scientific research, watershed management"
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,1000313,2013-41580-20791,Vibrant Communities Through Resilient Youth (VCTRY),National Institute of Food and Agriculture,NIFA Non Formula,226800.0,"Bacsujlaky, MA.",ACTIVE,alaska
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,1001405,2013-46100-21520,Connections to Life,National Institute of Food and Agriculture,NIFA Non Formula,199999.0,"Jones, DE.",COMPLETE,alaska
PROJECT,ILISAGVIK COLLEGE,1003191,2014-38421-22015,Science and Health Education Outreach,National Institute of Food and Agriculture,NIFA Non Formula,208615.0,"Sialofi, AM.",ACTIVE,Science and Healthcare
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,1004853,2014-70006-22558,Crop Protection and Pest Management for Alaska`s Emerging Farmers and Ranchers,National Institute of Food and Agriculture,NIFA Non Formula,340000.0,"Seefeldt, ST.",ACTIVE,alaska
PROJECT,SAES - UNIVERSITY OF ALASKA,0189115,2001-34418-10794,New Crops Opportunities,National Institute of Food and Agriculture,NIFA Non Formula,462943.0,"Lewis, C. E.",COMPLETE,"small fruit, crop production, oplopanax horridus, canola, paeonia, reindeer, salt tolerance, wild flowers, antioxidants, revegetation, betula, sap, bark, nutrient uptake (plants), carbon, new crops, agroforestry, forest management, reproductive performance, value added, alaska, agricultural economics, economic opportunities, crop quality, betula papyrifera, picea mariana, seedlings, raspberries, blackberries, blueberries, mycorrhizae"
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0192391,2002-34422-12136,"Seafood Harvesting, Processing and Marketing Program",National Institute of Food and Agriculture,NIFA Non Formula,1068183.0,"Smiley, S. T.",COMPLETE,"seafood, alaska, chitosan, coatings, surimi, image analysis, fish, certification, quality maintenance, food quality, food marketing, harvesting, food processing, agricultural economics, food spoilage, sustainable agriculture, moisture content, fish population, feasibility, market analysis, consumer surveys, laboratory tests, product evaluation, school lunches, focus groups, data analysis, reports"
PROJECT,SAES - UNIVERSITY OF ALASKA,0193027,2002-34418-12363,New Crops for New Markets,National Institute of Food and Agriculture,NIFA Non Formula,453650.0,"Lewis, C. E.",COMPLETE,"brassica, antioxidants, economic analysis, reindeer, new crops, market development, markets, seedlings, lingonberries, wheat, carbon, cropping systems, livestock management, alaska, forest products, milling quality, milling (grain), progestins, reproductive performance, soil properties, boreal forests, forest soils, value added, economic development"
PROJECT,SITKA SOUND SCIENCE CENTER INC.,0225551,2011-38414-30478,Taking AME (Aquaculture and Marine Education):Preparing Southeast Alaska for careers in aquaculture and marine science.,National Institute of Food and Agriculture,NIFA Non Formula,136540.0,"Busch, LI, JE.",COMPLETE,"K-8 classroom, Southeast Alaska, aquaculture, aquaculture education, careers in aquaculture and marine education, food security, k-12 education, marine science education, sitka sound science center, southeast alaska, taking ame"
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,1000136,2013-41580-20782,"Promoting Healthy and Thriving Tribes in Remote, Interior Alaska",National Institute of Food and Agriculture,NIFA Non Formula,241800.0,"Rader, HE.",ACTIVE,"ALASKA, Alaska Tanana Chiefs Conference, alaska"
PROJECT,SAES - UNIVERSITY OF ALASKA,0197776,2003-34418-14047,New Crops Opportunities IV,National Institute of Food and Agriculture,NIFA Non Formula,455071.0,"Lewis, C. E.",COMPLETE,"blueberries, lingonberries, antioxidants, reindeer, fire history, alaska, cranberries, tree ring analysis, pinus contorta, animal breeding, synchronization, perennial plants, herbaceous plants, value added, meat products, carbon cycle, fire, history, new crops, opportunities, resource management, agroforestry, pre harvest, reproductive performance, economics, markets, food processing, winter hardiness, food nutritive value"
PROJECT,SAES - UNIVERSITY OF ALASKA,0200298,2004-45066-03027,"Distance Delivery of Food Safety, Food Preparation, and Nutrition Information in Alaska",National Institute of Food and Agriculture,NIFA Non Formula,257671.0,"Dinstel, R. R.",COMPLETE,"home economics, food preservation, human nutrition, food safety, alaska, video techniques, workshops, networks, food, education programs, distance education, broadcasting, learning, educational materials, curriculum, world wide web, human health, traditionalism, quality maintenance, food products, food quality, publications"
PROJECT,SAES - UNIVERSITY OF ALASKA,0200534,2004-34525-15008,Alaska Enthnobotany Project,National Institute of Food and Agriculture,NIFA Non Formula,250731.0,"Lewis, C. E.",COMPLETE,"medicinal plants, alaska, ethnobotany, regulations, policies, nutraceuticals, american indians, harvesting, commercialization, government regulations, government policies, policy analysis, sustained use, sustainable agriculture, plant population, education programs, program planning, procedures, plant growth, demonstration, native plants, networks, educational materials"
PROJECT,SAES - UNIVERSITY OF ALASKA,0201241,2004-34158-15150,University of Alaska Southeast Forest Products Program - Year Five,National Institute of Food and Agriculture,NIFA Non Formula,543250.0,"Barber, V. A.",COMPLETE,"forest products, wood strength, wood properties, market analysis, surveys, value added, tsuga heterophylla, picea sitchensis, consumer attitudes, composite wood, fiber board, wood products, agroforestry, research programs, research support, funding, product improvement, product evaluation, alaska, damage, economic feasibility, comparative analysis"
PROJECT,SAES - UNIVERSITY OF ALASKA,0206695,2006-41580-03456,Alaska Indian Reservation Program Tanana Chiefs Conference,National Institute of Food and Agriculture,NIFA Non Formula,249879.0,"Rader,H",COMPLETE,"native, gardening, agriculture, alaska, interior, athabascan, tribes, youth programming, applied research, demonstrations, nutrition, health, sustainability"
PROJECT,SAES - UNIVERSITY OF ALASKA,0206633,2006-45057-03508,Food Product Development 2006,National Institute of Food and Agriculture,NIFA Non Formula,332640.0,"Dinstel, R. R.",COMPLETE,"alaskan wild berries, antioxidants, alaskan native foods, safe preservation methods"
PROJECT,"Alaska Manufacturers` Assoication, Inc.",0207489,2006-38884-03601,"Salmon Quality Standards, AK",National Institute of Food and Agriculture,NIFA Non Formula,153822.0,"Bertmaring, H.",COMPLETE,"alaska, wild salmon, quality standards, raise value, manage aqs information, disseminate aqs information, provide visibility, integrate in supply chain, software tracking, pilot project, increase yield, increase profitability, improve quality image, affordable and doable system, seafood processors, seafood harvesters, fishermen"
PROJECT,SAES - UNIVERSITY OF ALASKA,0207496,2006-34567-17332,Fruit and Berry Trials for Rural Villages,National Institute of Food and Agriculture,NIFA Non Formula,462110.0,"Hebert, M. A.",COMPLETE,"alaska, fruit, berry, vegetable, crop, trial, economic, rural, village"
PROJECT,SAES - UNIVERSITY OF ALASKA,0207561,2006-34418-17341,New Crop for Alaska VII,National Institute of Food and Agriculture,NIFA Non Formula,409429.0,"Lewis, C. E.",COMPLETE,"alaska, reindeer, reproductive management, pellet feed, barley, bromegrass hay, spiny dogfish, bycatch, peony, post harvest handling, rural development;"
PROJECT,SAES - UNIVERSITY OF ALASKA,0204132,2005-45046-02323,Sustainable Rural Communities - UAF Extension Outreach for Alaska,National Institute of Food and Agriculture,NIFA Non Formula,655196.0,"Gorman, R. F.",COMPLETE,"alaska, extension, rural development, rural communities, natural resources, forest resources, housing, information dissemination, community viability, entrepreneurs, mining, ethnic groups, american indians, wildfire, volunteers, trails, geographic information systems, environmental economics, horticulture, native plants, plant propagation, youth"
PROJECT,UNIVERSITY OF ALASKA SYSTEM,0200154,2004-34404-15017,CSREES Special Grant:  Food Quality Program FY2004,National Institute of Food and Agriculture,NIFA Non Formula,292519.0,"Smiley, SC.",COMPLETE,"alaska, aquaculture, bacteria, collaboration, detection, economic feasibility, economic grants, economic opportunities, farm markets, farm operations, fish, food economics, food industry, food processing, food spoilage, identification, microflora, oysters, pathogen identification, policy making, shellfish, stakeholders, economic feasibility, food quality, food quality, microbial quality, microflora, oyster farms"
PROJECT,SAES - UNIVERSITY OF ALASKA,0208564,2006-34158-17722,University of Alaska Fairbanks Sitka Forest Products Program Year VII,National Institute of Food and Agriculture,NIFA Non Formula,613485.0,"Barber, V. A.",COMPLETE,"wood plastic composite, under utilized woods, birch, aspen cottonwood red alder, woodwind, design strengths, failure defects, non-timber forests products, glulam beams, marketing, alaska forest, forest inventory, economic development, wood products"
PROJECT,SAES - UNIVERSITY OF ALASKA,0208348,2006-34495-17677,Alaskan Berries: Potential New Products and New Markets II,National Institute of Food and Agriculture,NIFA Non Formula,1201486.0,"Lewis, C. E.",COMPLETE,"alaska, blueberries, antioxidant, nutraceutical, supplemental light, controlled environment, micropropagation, polyphenols, spectroscopic protocols, biochemistry, neuronal cells, berry processing, hplc anaylsis"
PROJECT,Prince William Sound Community College,0208367,2006-38426-17627,Basic Nutrition and Wellness for Incoming Native Alaskan College Students,National Institute of Food and Agriculture,NIFA Non Formula,100000.0,"Linn, D. J.",COMPLETE,"course development and delivery, obesity, nutrition, health and, wellness"
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0208247,2006-34385-17606,Alternative Salmon Products Program FY2006,National Institute of Food and Agriculture,NIFA Non Formula,1015719.0,"Smiley, SC.",COMPLETE,"improved salmon quality, objective quality standards;, new salmon product forms"
PROJECT,ILISAGVIK COLLEG,0198899,2003-38426-14095,"Health, Nutrition, and the Inupiat Traditional Diet & Lifestyle",National Institute of Food and Agriculture,NIFA Non Formula,179002.0,"Tuthill, J.",COMPLETE,"human health, human nutrition, diet, curriculum, development, education, employment, training, life styles, american indians, traditionalism, alaska, education programs, nutrition education, quality of life, curriculum content, colleges, surveys"
PROJECT,SAES - UNIVERSITY OF ALASKA,0221838,2010-34158-20855,University of Alaska Fairbanks Forest Products Program Year 10,National Institute of Food and Agriculture,NIFA Non Formula,595876.0,"Barber, VA.",COMPLETE,"ALASKA, alaska, astm standards, biofuel, biomass, forest product markets, fuels for schools, market, non timber forest products, pyrolytic bio oil, pyrolytic bio-oil, thermoplastic, wood plastic composite, wood products"
PROJECT,UNIVERSITY OF ALASKA SYSTEM,0212572,2002-38426-12708,The Extended University:  A Continuing Collaboration Between the College of Rural Alaska Extended Campuses & the Alaska Coop. Ext. Service,National Institute of Food and Agriculture,NIFA Non Formula,900762.0,"Pinney, PE.",COMPLETE,"agriculture, alaska, collaboration, curriculum, educational materials, extension, minorities, opportunities, retention, rural areas, rural communities;, student recruitment, higher education"
PROJECT,SAES - UNIVERSITY OF ALASKA,0214511,2008-34158-19474,University of Alaska Fairbanks Wood Utilization Research,National Institute of Food and Agriculture,NIFA Non Formula,597044.0,"Barber, V.",COMPLETE,"biofuel, biooil, woody biomass, energy, alaska, wood products, birch, yellow cedar, hemlock, red cedar, sitka spruce, alder, cottonwood, ethnobotany, carbon credits"
PROJECT,SAES - UNIVERSITY OF ALASKA,0215153,2008-34495-19443,Alaska Berries: New Products and New Markets III,National Institute of Food and Agriculture,NIFA Non Formula,902840.0,"Lewis, CA, E..",COMPLETE,"ALASKA, alaska, antioxidant, bog blueberries (vaccinium uliginosum), bog blueberry, cultivation of berries, early blueberry (v. ovalifolium), flavonoid, fractionating schemes, high tunnel and controlled environment production, lingonberry (v vitis-idaea) alaska blueberry (v. alaskense), nSMase inhibitor, neuroinflamation, neuronal protection, polyphenols, seed germination micropropagation, small business development"
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,0213900,2008-41520-04314,Sustainable Community Project for Teens,National Institute of Food and Agriculture,NIFA Non Formula,648000.0,"Dierenfield, CA.",COMPLETE,"atv/orv and snow machine safety education, civic engagement, community collaboration, essential elements of 4-h youth development, life skills, positive youth development, service learning, youth/adult partnerships, alaska teens"
PROJECT,SAES - UNIVERSITY OF ALASKA,0218037,2009-33800-19620,Its good to share: regaining food self-sufficiency in Interior Alaska`s remote villages (T&TA Project),National Institute of Food and Agriculture,NIFA Non Formula,184478.0,"Bacsujlaky, MA, CE.",COMPLETE,"alaska native, alaska natives, athabascan, community development, community food projects, food, food security, food self sufficiency, grant training, interior alaska, remote rural village, rural community, rural development, self-sufficiency, subsistence, tanana chiefs conference, technical assistence, training"
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0222348,2010-38414-21175,Enhanced High School Education in Seafood Science and Technology to Fulfill Skilled Employee Requirements of the Sector,National Institute of Food and Agriculture,NIFA Non Formula,44485.0,"Himelbloom, BR.",COMPLETE,"K-12 classroom, aquatic foods, career opportunities, curriculum development, distance delivery, fish harvesting, high school, kodiak, alaska, marine products, ocean resources, postsecondary, processing industry, saltwater and freshwater, science and technology, seafood, seafood science, secondary education, shellfish aquaculture, teaching competencies"
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,0223505,2010-49400-21719,"Rural Delivery: New Education Methods Promote Self-Reliant, Alaska Native Villages",National Institute of Food and Agriculture,NIFA Non Formula,411256.0,"Rader, HE.",COMPLETE,"alaska native, alaskan growers, beginning farmer, distance education, elluminate live, face to face, growers course, n/a, powerpoint, remote village, teleconference, tribe, videoconference"
PROJECT,UNIVERSITY OF ALASKA ANCHORAGE,0214439,2008-51200-19294,Community Quota Entity Capacity Building,National Institute of Food and Agriculture,NIFA Non Formula,297513.0,"Crow, AN.",COMPLETE,"coastal, community, cqe, disadvantaged, fishing, ifq, individual fishing quota community quota entity, native, quota, rural, CQE Capacity Building, Community Quota Entity, University of Alaska Anchorage, alaska, alaska native"
PROJECT,BRISTOL BAY CAMPUS - UAF,0210925,2007-38426-18310,AK Native Education & Community Development Within a Changing Landscape - Supplement,National Institute of Food and Agriculture,NIFA Non Formula,468674.0,"McLean, D.",COMPLETE,"rural alaska, bristol bay, rural communities, value-added fish, renewable resource, experiential learning, internships, building capacity, ecosystem health, undergraduate research, traditional ecological knowledge, alternative energy, economic revitalization, food production, horticulture, sustainable forestry, watershed management, environmental careers;"
PROJECT,UNIVERSITY OF ALASKA,0209512,2007-55215-17895,New Horizons: Expanding Nutrition Education and Opportunities in the Rural Human Services Program,National Institute of Food and Agriculture,NIFA Non Formula,50000.0,"Johnson, C. R.",COMPLETE,"obesity, nutrition, nutrition education, alaska natives, behavioral health, diabetes, nutrition education needs, nutritionist training, rural alaska, nutrition certificate programs, nutrition paraprofessionals, health"
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,0230632,2012-48679-20196,FY12 Alaska PSEP Pesticide Safety Education Program,National Institute of Food and Agriculture,NIFA Non Formula,10000.0,"Kaspari, PH.",COMPLETE,"alaska, alaska pesticide safety education"
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0224813,2011-69004-30218,Fisheries to Schools: A Model to Enhance Food Security in Alaskan Communities,National Institute of Food and Agriculture,NIFA Non Formula,1124664.0,"Bersamin, AN.",ACTIVE,"Alaska Native, Farm to School, Food security, alaska native, childhood nutrition, community based participatory research, diet quality, farm to school, food security, healthy eating, school lunches"
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,0226888,2011-48679-31045,FY11 Alaska PSEP (Pesticide Safety Education Program),National Institute of Food and Agriculture,NIFA Non Formula,10000.0,"Kaspari, PH.",COMPLETE,"alaska pesticide safety eduction, not applicable"
PROJECT,"ORPC ALASKA, LLC",1001817,2013-33610-21033,Harnessing Clean River Energy with the RivGen Power System to Replace and Offset Diesel Fuel Use by Rural Communities,National Institute of Food and Agriculture,NIFA Non Formula,100000.0,"Worthington, MO.",COMPLETE,Isolated microgrid. Zero-emission. Hydrokinetic. RivGen Power System. Village of Iguigig.
